MONTH_ID,PROV_ID,AREA_ID,USER_ID,SERVICE_TYPE,PAY_MODE,PRODUCT_ID,PRODUCT_MODE,CHNL_ID,USER_STATUS,CUST_ID,IS_GRP_MBR,IS_INNET,IS_THIS_ACCT,IS_FREE,STOP_MONTH,LAST_STOP_DATE,INNET_MONTHS,FLUXMOST1MON_IMEI,USE_TERM_TYPE,IS_TERM_IPHONE,IS_USE_SMART,USER_3WU,IS_ACTIVE,IS_LOWER_VALUE_USER,USE_STATUS_INNET,TOTAL_FLUX,LOCAL_FLUX,LOCAL_FLUX_ZB,JF_TIMES,NOROAM_LOCAL_JF_TIMES,NOROAM_LONG_JF_TIMES,ROAM_ZB,ZHUJIAO_ZB,CDR_NUM,TOLL_NUMS_ZB,VIP_LEVEL,ACCT_FEE,ROAM_VOICE_FEE,ZENGZHI_FEE,OWE_FEE,OVERDUE_OWE_FEE,P2P_SMS_CNT,FLUX_NUM,FLUX_TIME,YQ_OWE_MONTHS,STDEV_CDR_NUM,VAR_CDR_NUM,CALL_DAYS,LAST_CALL_TIME,CALL_DURA_LAST7_CN,OTHER_MOBILE_RING,CELLID_NUM,CALLING_YIWANG,NET_TYPE,MANU_NAME,LOST_FLAG,STABLE_FLAG
201508,079,V0540100,1035869,200101AA,02,2294,010199,79b00z0,11,1031762,0,1,1,0,0,0,126,35198006887720,4G,1,1,0,1,0,7,416.326210975647,40.4086437225342,.0970600520871310296830624050376487555569,1681,499,855,.1154074955383700178465199286139202855443,.7043426531826293872694824509220701963117,704,.2571022727272727272727272727272727272727,0,680.32,162.8,3,0,0,67,1719,31782.45,0,12.032734,.52985,31,-1,1.90448003136694941786804228686128610345,93,88,369,4,苹果                                          ,1,1
201508,079,V0540100,1036063,200101AA,02,2934,010305,79-7900,11,1044294,0,1,1,0,0,0,126,0,4G,1,1,0,1,0,1,0,0,0,128,128,0,0,.140625,86,0,0,15,0,0,0,0,0,0,0,0,1.7075,.595639,30,0,1.016780164791752887618044320704315437,19,7,6,0,0,1,1
201508,079,V0540100,1082651,200101AA,05,10072,010399,79a0080,11,20006718,0,1,1,0,0,0,110,0,4G,1,1,0,1,0,7,54.2626953125,53.78125,.991127508323584990551606226941419958607,827,710,90,.0241837968561064087061668681983071342201,.4969770253929866989117291414752116082225,487,.0349075975359342915811088295687885010267,0,82.75,2,0,0,0,46,168,26825.5166666667,0,6.624459,.42168,31,-1,1.61815197622321785033047952801313046178,122,97,190,0,0,1,1
201508,079,V0540100,1096874,200101AA,02,2125,010199,79b00z0,11,1094310,0,1,1,0,0,0,108,35888204463309,3G,0,1,0,1,0,7,.371880531311035,0,0,221,0,0,.2171945701357466063348416289592760180995,.2171945701357466063348416289592760180995,137,0,0,122.72,13.8,0,0,0,14,5,.383333333333333,0,4.240152,.9285,30,-1,.341786603282738485149070764163126275008,27,33,26,0,三星                                       ,1,1
201508,079,V0540100,1116804,200101AA,02,2125,010199,79-7900,11,500290737,0,1,1,0,0,0,107,35835406542279,4G,1,1,0,1,0,7,4.59640693664551,4.59640693664551,1,1445,1019,426,0,.5633217993079584775086505190311418685121,710,.1014084507042253521126760563380281690141,0,323.71,0,0,0,0,20,8,27.9833333333333,0,8.78178,.38343,31,-1,1.12464562522053366104128390134692834633,83,47,181,4,苹果                                          ,1,1
201508,079,V0540100,1141306,200101AA,02,2125,010199,79b00z0,11,500281964,0,1,1,0,0,0,99,86316502455053,3G,0,1,0,1,0,5,649.704355239868,649.704355239868,1,252,203,49,0,.4087301587301587301587301587301587301587,139,.1726618705035971223021582733812949640288,0,284.18,0,0,0,0,0,1445,36621.65,0,3.745961,.808481,30,-1,1.54502786740979759460252273393957172191,25,36,59,0,0,1,1
201508,079,V0540100,1144566,200101AA,02,2934,010305,79a0078,11,1143136,0,1,1,0,0,0,101,0,3G,0,1,0,1,1,1,0,0,0,7,0,0,.4285714285714285714285714285714285714286,.4285714285714285714285714285714285714286,3,0,0,28.63,.6,0,0,0,0,0,0,0,.5,.333333,2,17,0,2,2,1,0,0,1,1
201508,079,V0542600,200058507,200101AA,05,10084,010999,79a0042,11,500052408,1,1,1,0,0,0,75,0,4G,0,1,0,1,0,7,11.958984375,11.958984375,1,962,0,0,.3970893970893970893970893970893970893971,.3970893970893970893970893970893970893971,711,0,0,119.33,39.2,0,0,0,437,32,2920.9,0,9.61496,.419218,31,-1,.7791801797012068690520495507469828273697,150,50,220,0,0,1,1
201508,079,V0540100,200060270,200101AA,05,4278,010303,79a0080,11,500053987,0,1,1,0,0,0,75,0,00,0,0,0,1,0,7,.1748046875,.1748046875,1,326,284,42,0,.3619631901840490797546012269938650306748,131,.0687022900763358778625954198473282442748,0,65.67,0,0,0,0,70,13,4420.18333333333,0,2.621143,.580253,29,-1,1.32502200058668231152830742153124083309,15,24,52,0,0,1,1
201508,079,V0540100,200069741,200101AA,02,2294,010199,79a0080,11,500058853,0,1,1,0,0,0,74,0,2G,0,0,0,1,0,4,0,0,0,2649,2279,370,0,.4975462438656096640241600604001510003775,1847,.1201949106659447753113156469951272333514,0,255.4,0,0,0,0,5,0,0,0,17.348002,.291168,31,-1,1.3549959877489801320051592086412543431,158,52,853,0,0,1,1
