"MONTH_ID","PROV_ID","AREA_ID","USER_ID","SERVICE_TYPE","PAY_MODE","ACCT_ID","PAY_METHOD","PAY_OPR_TYPE","PRODUCT_ID","PRODUCT_CLASS","CHANNEL_ID","CHANNEL_TYPE","IS_CARD","IS_THIS_DEV","PAY_CHANNEL_ID","PAY_CHANNEL_TYPE","PAY_FEE","PAY_NUM","ACCT_BALANCE_TYPE","PAY_AREA_ID"
"201510","079","V0540100","1037476","30AAAAAA","02","1069694","06","01","99003580","99003580","70062","1020100","0","0","GAOYANG","**","50","1","03","V0540100"
"201510","079","V0540100","1037481","30AAAAAA","02","1069712","02","01","99003572","99003572","70160","1030200","0","0","38","1010200","200","1","01","V0540100"
"201510","079","V0540100","1037481","30AAAAAA","02","1069712","99","01","99003572","99003572","70160","1030200","0","0","zwzx","**","0","2","01","V0540100"
"201510","079","V0540100","1037604","30AAAAAA","02","1069896","02","01","99005046","99005046","36","1010200","0","0","45","1010300","80","1","01","V0540100"
"201510","079","V0540100","1037641","30AAAAAA","02","1069953","02","01","99003580","99003580","39","2010100","0","0","38","1010200","230","1","01","V0540100"
"201510","079","V0540100","1037641","30AAAAAA","02","1069953","99","01","99003580","99003580","39","2010100","0","0","zwzx","**","0","2","01","V0540100"
"201510","079","V0540100","1037660","30AAAAAA","02","1069979","99","01","99003578","99003578","39","2010100","0","0","zwzx","**","0","2","01","V0540100"
"201510","079","V0540100","1037747","30AAAAAA","02","1184322","02","01","99003576","99003576","36","1010200","0","0","45","1010300","700","2","01","V0540100"
"201510","079","V0540100","1037880","30AAAAAA","02","1070354","99","01","99003577","99003577","36","1010200","0","0","zwzx","**","-111.89","1","03","V0540100"
"201510","079","V0540100","1037891","30AAAAAA","02","1070374","99","01","99003572","99003572","39","2010100","0","0","zwzx","**","0","2","01","V0540100"
"201510","079","V0540100","1037967","30AAAAAA","02","1070529","06","01","99003577","99003577","39","2010100","0","0","GAOYANG","**","50","1","03","V0540100"
"201510","079","V0540100","1037967","30AAAAAA","02","1070529","10","01","99003577","99003577","39","2010100","0","0","zwzx","**","20","1","06","V0540100"
"201510","079","V0540100","1037967","30AAAAAA","02","1070529","10","01","99003577","99003577","39","2010100","0","0","zwzx","**","-20","1","08","V0540100"
"201510","079","V0540100","1037967","30AAAAAA","02","1070529","99","01","99003577","99003577","39","2010100","0","0","zwzx","**","0","2","01","V0540100"
"201510","079","V0540100","1038124","30AAAAAA","02","1070809","06","01","99003576","99003576","39","2010100","0","0","GAOYANG","**","300","1","03","V0540100"
"201510","079","V0540100","1038229","30AAAAAA","02","1071013","06","01","99003576","99003576","36","1010200","0","0","GAOYANG","**","200","2","03","V0540100"
"201510","079","V0540100","1038229","30AAAAAA","02","1071013","99","01","99003576","99003576","36","1010200","0","0","zwzx","**","0","2","01","V0540100"
